path,line,end_line,zone,symbol,rule,severity,claim_type,confidence,evidence
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,38,278,maintained,HgtxrE2EAxisDmaOverlay,large-class,medium,fact,high,class spans 241 lines
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,38,278,maintained,HgtxrE2EAxisDmaOverlay,high-branch-density,high,inference,medium,AST branch proxy=43
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,182,278,maintained,HgtxrE2EAxisDmaOverlay.run_profiled,large-function,medium,fact,high,function spans 97 lines
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,15,17,maintained,<module>,broad-except,medium,fact,high,catches Exception
hardware/pynq/hgtxr/e2e_axis_dma_overlay.py,275,275,maintained,HgtxrE2EAxisDmaOverlay.run_profiled,very-long-line,low,fact,high,line length=161
hardware/pynq/hgtxr/e2e_m_axi_overlay.py,36,153,maintained,HgtxrE2EMaxiOverlay,high-branch-density,high,inference,medium,AST branch proxy=27
hardware/pynq/hgtxr/e2e_m_axi_overlay.py,14,16,maintained,<module>,broad-except,medium,fact,high,catches Exception
hardware/pynq/hgtxr/hgtxr_overlay.py,103,209,maintained,HgtxrOverlay,high-branch-density,medium,inference,medium,AST branch proxy=24
hardware/pynq/hgtxr/hgtxr_overlay.py,37,78,maintained,parse_registers_from_hwh,high-branch-density,medium,inference,medium,AST branch proxy=21
hardware/pynq/hgtxr/hgtxr_overlay.py,13,15,maintained,<module>,broad-except,medium,fact,high,catches Exception
hardware/pynq/hgtxr/run_e2e_axis_dma_hybrid_smoke.py,170,255,maintained,run_hybrid_smoke,large-function,medium,fact,high,function spans 86 lines
hardware/pynq/hgtxr/run_e2e_axis_dma_hybrid_smoke.py,170,255,maintained,run_hybrid_smoke,high-branch-density,medium,inference,medium,AST branch proxy=21
hardware/pynq/hgtxr/run_e2e_axis_dma_hybrid_smoke.py,267,267,maintained,main,library-print,low,inference,medium,print call in maintained non-script module
hardware/pynq/hgtxr/run_e2e_axis_dma_smoke.py,154,261,maintained,run_smoke,large-function,medium,fact,high,function spans 108 lines
hardware/pynq/hgtxr/run_e2e_axis_dma_smoke.py,154,261,maintained,run_smoke,high-branch-density,medium,inference,medium,AST branch proxy=23
hardware/pynq/hgtxr/run_e2e_axis_dma_smoke.py,273,273,maintained,main,library-print,low,inference,medium,print call in maintained non-script module
hardware/pynq/hgtxr/run_e2e_m_axi_smoke.py,116,116,maintained,main,library-print,low,inference,medium,print call in maintained non-script module
hardware/scripts/report/collect_no_board_reports.py,156,223,maintained,parse_hls_xml,large-function,medium,fact,high,function spans 68 lines
hardware/scripts/report/collect_no_board_reports.py,313,397,maintained,write_markdown,large-function,medium,fact,high,function spans 85 lines
hardware/scripts/report/collect_no_board_reports.py,340,340,maintained,write_markdown,very-long-line,low,fact,high,line length=170
hardware/scripts/report/collect_no_board_reports.py,345,345,maintained,write_markdown,very-long-line,low,fact,high,line length=188
hardware/tests/test_check_c3b_board_smoke_readiness.py,23,201,test,CheckC3bBoardSmokeReadinessTests,large-class,medium,fact,high,class spans 179 lines
hardware/tests/test_check_c3b_board_smoke_readiness.py,24,92,test,CheckC3bBoardSmokeReadinessTests.make_bundle,large-function,medium,fact,high,function spans 69 lines
hardware/tests/test_check_final_blocker_closure_readiness.py,74,297,test,CheckFinalBlockerClosureReadinessTests,large-class,medium,fact,high,class spans 224 lines
hardware/tests/test_check_final_blocker_closure_readiness.py,36,36,test,smoke_payload,hard-coded-absolute-path,high,fact,high,"""bitfile"": ""/tmp/hgtxr_e2e_axis_dma_c3b_mem16.bit"","
hardware/tests/test_check_final_blocker_closure_readiness.py,37,37,test,smoke_payload,hard-coded-absolute-path,high,fact,high,"""hwhfile"": ""/tmp/hgtxr_e2e_axis_dma_c3b_mem16.hwh"","
hardware/tests/test_check_third_goal_preflight.py,63,1137,test,ThirdGoalPreflightTests,large-class,high,fact,high,class spans 1075 lines
hardware/tests/test_check_third_goal_preflight.py,63,1137,test,ThirdGoalPreflightTests,high-branch-density,high,inference,medium,AST branch proxy=47
hardware/tests/test_check_third_goal_preflight.py,82,434,test,ThirdGoalPreflightTests.make_root,large-function,high,fact,high,function spans 353 lines
hardware/tests/test_check_third_goal_preflight.py,82,434,test,ThirdGoalPreflightTests.make_root,high-branch-density,medium,inference,medium,AST branch proxy=23
hardware/tests/test_check_third_goal_preflight.py,82,434,test,ThirdGoalPreflightTests.make_root,too-many-parameters,medium,fact,high,parameter count=14
hardware/tests/test_check_third_goal_preflight.py,843,960,test,ThirdGoalPreflightTests.test_qkv_uram_successor_smoke_artifacts_validate_bundle_session,large-function,medium,fact,high,function spans 118 lines
hardware/tests/test_check_third_goal_preflight.py,69,69,test,ThirdGoalPreflightTests.parse_stdout_summary,hard-coded-absolute-path,high,fact,high,"raise AssertionError(f""summary line not found in output:\n{output}"")"
hardware/tests/test_check_third_goal_preflight.py,313,313,test,ThirdGoalPreflightTests.make_root,hard-coded-absolute-path,high,fact,high,"""python3 tools/run_third_goal_final_signoff.py --root /home/kjm26/project/PRJXR/XR-VIT/HGTXR --import-c3b-smoke-json /path/to/e2e_axis_dma_c3b_mem16_file_smoke.json --dry-run-import-c3b-smoke --allow-blocked"","
hardware/tests/test_check_third_goal_preflight.py,313,313,test,ThirdGoalPreflightTests.make_root,very-long-line,low,fact,high,line length=241
hardware/tests/test_check_third_goal_preflight.py,314,314,test,ThirdGoalPreflightTests.make_root,hard-coded-absolute-path,high,fact,high,"""python3 tools/run_third_goal_final_signoff.py --root /home/kjm26/project/PRJXR/XR-VIT/HGTXR --import-c3b-smoke-json /path/to/e2e_axis_dma_c3b_mem16_file_smoke.json --allow-blocked"","
hardware/tests/test_check_third_goal_preflight.py,314,314,test,ThirdGoalPreflightTests.make_root,very-long-line,low,fact,high,line length=214
hardware/tests/test_check_third_goal_preflight.py,315,315,test,ThirdGoalPreflightTests.make_root,hard-coded-absolute-path,high,fact,high,"""python3 tools/check_third_goal_preflight.py --root /home/kjm26/project/PRJXR/XR-VIT/HGTXR --mode final-signoff"","
hardware/tests/test_check_third_goal_preflight.py,941,941,test,ThirdGoalPreflightTests.test_qkv_uram_successor_smoke_artifacts_validate_bundle_session,very-long-line,low,fact,high,line length=190
hardware/tests/test_check_third_goal_preflight.py,942,942,test,ThirdGoalPreflightTests.test_qkv_uram_successor_smoke_artifacts_validate_bundle_session,hard-coded-absolute-path,high,fact,high,"""python3 tools/check_third_goal_preflight.py --root /home/kjm26/project/PRJXR/XR-VIT/HGTXR --mode final-signoff"","
hardware/tests/test_create_xr_vits_replacement_policy.py,20,321,test,CreateXrVitsReplacementPolicyTests,large-class,high,fact,high,class spans 302 lines
hardware/tests/test_create_xr_vits_replacement_policy.py,296,296,test,CreateXrVitsReplacementPolicyTests.test_policy_integrity_detects_approval_event_drift,hard-coded-absolute-path,high,fact,high,"policy[""approval_event""][""replacement_path""] = ""/tmp/wrong"""
hardware/tests/test_discover_c3b_smoke_candidates.py,40,40,test,smoke_payload,hard-coded-absolute-path,high,fact,high,"""bitfile"": ""/tmp/hgtxr_e2e_axis_dma_c3b_mem16.bit"","
hardware/tests/test_discover_c3b_smoke_candidates.py,41,41,test,smoke_payload,hard-coded-absolute-path,high,fact,high,"""hwhfile"": ""/tmp/hgtxr_e2e_axis_dma_c3b_mem16.hwh"","
hardware/tests/test_discover_pynq_smoke_candidates.py,52,252,test,DiscoverPynqSmokeCandidatesTests,large-class,medium,fact,high,class spans 201 lines
hardware/tests/test_discover_pynq_smoke_candidates.py,47,47,test,smoke_payload,hard-coded-absolute-path,high,fact,high,"""bitfile"": f""/tmp/{prefix}.bit"","
hardware/tests/test_discover_pynq_smoke_candidates.py,48,48,test,smoke_payload,hard-coded-absolute-path,high,fact,high,"""hwhfile"": f""/tmp/{prefix}.hwh"","
hardware/tests/test_import_pynq_smoke_result.py,28,259,test,ImportPynqSmokeResultTests,large-class,medium,fact,high,class spans 232 lines
hardware/tests/test_import_pynq_smoke_result.py,28,259,test,ImportPynqSmokeResultTests,high-branch-density,medium,inference,medium,AST branch proxy=13
hardware/tests/test_package_e2e_axis_dma_pynq_bundle.py,17,266,test,E2EAxisDmaPynqBundleTests,large-class,medium,fact,high,class spans 250 lines
hardware/tests/test_package_e2e_axis_dma_pynq_bundle.py,17,266,test,E2EAxisDmaPynqBundleTests,high-branch-density,medium,inference,medium,AST branch proxy=18
hardware/tests/test_run_runtime_mode_board_latency.py,78,268,test,RuntimeModeBoardLatencyRunnerTests,large-class,medium,fact,high,class spans 191 lines
hardware/tests/test_run_runtime_mode_board_latency.py,78,268,test,RuntimeModeBoardLatencyRunnerTests,high-branch-density,medium,inference,medium,AST branch proxy=17
hardware/tests/test_run_runtime_mode_board_latency.py,100,100,test,RuntimeModeBoardLatencyRunnerTests.make_profile_configs,hard-coded-absolute-path,high,fact,high,"""remote_dir"": f""/home/xilinx/hgtxr_runtime_{mode}"","
hardware/tests/test_run_runtime_mode_board_latency.py,131,131,test,RuntimeModeBoardLatencyRunnerTests.make_par32_rom_compute_configs,hard-coded-absolute-path,high,fact,high,"""remote_dir"": f""/home/xilinx/hgtxr_par32_rom_compute_300_{mode}"","
hardware/tests/test_run_third_goal_final_signoff.py,18,1604,test,RunThirdGoalFinalSignoffTests,large-class,high,fact,high,class spans 1587 lines
hardware/tests/test_run_third_goal_final_signoff.py,18,1604,test,RunThirdGoalFinalSignoffTests,high-branch-density,high,inference,medium,AST branch proxy=80
hardware/tests/test_run_third_goal_final_signoff.py,22,785,test,RunThirdGoalFinalSignoffTests.make_tools,large-function,high,fact,high,function spans 764 lines
hardware/tests/test_run_third_goal_final_signoff.py,22,785,test,RunThirdGoalFinalSignoffTests.make_tools,high-branch-density,high,inference,medium,AST branch proxy=45
hardware/tests/test_run_third_goal_final_signoff.py,787,1014,test,RunThirdGoalFinalSignoffTests.test_blocked_run_writes_summary_and_returns_one,large-function,high,fact,high,function spans 228 lines
hardware/tests/test_run_third_goal_final_signoff.py,1385,1555,test,RunThirdGoalFinalSignoffTests.test_final_refresh_uses_fresh_evidence_manifest_contract,large-function,high,fact,high,function spans 171 lines
hardware/tests/test_run_third_goal_final_signoff.py,577,577,test,RunThirdGoalFinalSignoffTests.make_tools.req1_environment,hard-coded-absolute-path,high,fact,high,"{""name"": ""hardware_root_expected_prefix"", ""status"": ""pass"", ""detail"": ""/home/kjm26/project""},"
hardware/tests/test_run_third_goal_final_signoff.py,624,624,test,RunThirdGoalFinalSignoffTests.make_tools.xr_vits_gate,hard-coded-absolute-path,high,fact,high,"""exact"": {""exists"": False, ""path"": ""/tmp/XR-VITs""},"
hardware/tests/test_run_third_goal_final_signoff.py,625,625,test,RunThirdGoalFinalSignoffTests.make_tools.xr_vits_gate,hard-coded-absolute-path,high,fact,high,"""replacement_candidate"": {""exists"": True, ""path"": ""/tmp/XR_Accel""},"
hardware/tests/test_run_third_goal_final_signoff.py,1045,1045,test,RunThirdGoalFinalSignoffTests.test_execute_zcu104_smoke_forwards_remote_options,hard-coded-absolute-path,high,fact,high,"zcu104_remote_dir=""/home/xilinx/custom_hgtxr"","
hardware/tests/test_run_third_goal_final_signoff.py,1058,1058,test,RunThirdGoalFinalSignoffTests.test_execute_zcu104_smoke_forwards_remote_options,hard-coded-absolute-path,high,fact,high,"self.assertIn(""/home/xilinx/custom_hgtxr"", zcu104_step[""argv""])"
hardware/tests/test_run_third_goal_final_signoff.py,1069,1069,test,RunThirdGoalFinalSignoffTests.test_require_vref_successor_smoke_runs_profile_dry_run_without_remote_dir_override,hard-coded-absolute-path,high,fact,high,"zcu104_remote_dir=""/home/xilinx/c3b_only"","
hardware/tests/test_run_third_goal_final_signoff.py,1081,1081,test,RunThirdGoalFinalSignoffTests.test_require_vref_successor_smoke_runs_profile_dry_run_without_remote_dir_override,hard-coded-absolute-path,high,fact,high,"self.assertNotIn(""/home/xilinx/c3b_only"", vref_step[""argv""])"
hardware/tests/test_run_third_goal_final_signoff.py,1099,1099,test,RunThirdGoalFinalSignoffTests.test_execute_vref_successor_smoke_forwards_remote_options,hard-coded-absolute-path,high,fact,high,"vref_successor_remote_dir=""/home/xilinx/vref_hgtxr"","
hardware/tests/test_run_third_goal_final_signoff.py,1113,1113,test,RunThirdGoalFinalSignoffTests.test_execute_vref_successor_smoke_forwards_remote_options,hard-coded-absolute-path,high,fact,high,"self.assertIn(""/home/xilinx/vref_hgtxr"", vref_step[""argv""])"
hardware/tests/test_run_third_goal_final_signoff.py,1124,1124,test,RunThirdGoalFinalSignoffTests.test_require_qkv_uram_smoke_runs_profile_dry_run_and_blocks_when_missing,hard-coded-absolute-path,high,fact,high,"zcu104_remote_dir=""/home/xilinx/c3b_only"","
hardware/tests/test_run_third_goal_final_signoff.py,1137,1137,test,RunThirdGoalFinalSignoffTests.test_require_qkv_uram_smoke_runs_profile_dry_run_and_blocks_when_missing,hard-coded-absolute-path,high,fact,high,"self.assertNotIn(""/home/xilinx/c3b_only"", qkv_step[""argv""])"
